p_name,p_price,p_score,p_region,p_year
St.-Joseph White Le Grand Pompee,22,72,Rhone,1998
Chardonnay Collio Bernizza,21,87,Northeast,1992
Shiraz McLaren Vale,20,87,Australia,1998
Cabernet Franc Western Cape,14,85,South Africa,1996
Qualitätswein Trocken Thermenregion Dialog,,86,Niederosterreich,1997
Zinfandel Dry Creek Valley Saunders Vineyard,16,85,Sonoma,1992
Zinfandel Paso Robles Westside Reserve,23,87,South Coast,1996
Pommard,35,79,Burgundy,1992
Bourgogne,18,70,Burgundy,1995
Elevage Stags Leap District,40,88,Napa,1994
Pommard,,78,Burgundy,1994
Sauvignon Blanc Columbia Valley,11,86,Washington,1996
Merlot Paarl,23,78,South Africa,1996
Riesling Auslese Gold Cap Mosel-Saar-Ruwer Scharzhofberger,,90,Germany,1994
Pinot Noir Russian River Valley,28,94,Sonoma,1995
Chablis Vaucoupin,25,86,Burgundy,1998
Sauvignon Blanc Vin de Pays d'Oc L'Epayrie,7,87,Other France,1997
Volnay Champans,60,91,Burgundy,1996
Savigny-les-Beaune Vergelesses,34,84,Burgundy,1994
Riesling Kabinett Pfalz Haardter Burgergarten,21,87,Germany,1994
Crozes-Hermitage,19,83,Rhone,1997
Pinot Blanc Oregon,17,87,Oregon,1996
Cabernet Sauvignon Rapel,6,82,Chile,1997
Cote de Brouilly,15,84,Beaujolais,1997
Pinot Noir Monterey County Pisoni Vineyard,50,85,Bay Area - Central Coast,1998
Pinot Noir Carneros Unfined & Unfiltered,20,89,Carneros,1992
Napa Valley,75,93,Napa,1996
Chardonnay Carneros Private Reserve,9,87,Carneros,1993
Crozes-Hermitage White Les Nobles Rives,12,80,Rhone,1999
Pomerol,28,84,Bordeaux,1995
Puligny-Montrachet,,85,Burgundy,1994
Sauvignon Blanc Alto de Casablanca,10,84,Chile,1998
Toscana Rosso di Sera,44,92,Tuscany,1997
Cabernet Sauvignon Coonawarra Reserve,19,88,Australia,1994
Zinfandel Napa Valley,17,89,Napa,1994
Cabernet Sauvignon Stags Leap District,42,91,Napa,1996
Chardonnay McLaren Vale,20,87,Australia,1996
Washington,30,85,Washington,1995
Arinto Bucelas,8,83,Portugal,1997
Chianti Classico Titolato,12,78,Tuscany,1996
Chablis Les Clos,47,85,Burgundy,1993
Conundrum California,19,92,Other California,1995
Vouvray Cuvee Moelleuse,23,87,Loire,1996
Cabernet Sauvignon Napa Valley Block 8,24,90,Napa,1995
Pinot Noir Santa Maria Valley Bien Nacido Vineyard,30,88,South Coast,1993
Pinot Blanc Alsace Kritt,18,84,Alsace,1996
Riesling QbA Trocken Mosel-Saar-Ruwer,9,85,Germany,1992
Pinot Noir Sonoma County Carneros Sangiacomo Vineyard Reserve,24,82,Carneros,1994
Rioja Finca Valpiedra Reserva,23,88,Spain,1994
Zinfandel Paso Robles The Montster,18,88,South Coast,1997
Pinot Gris Napa Valley,21,95,Napa,1996
Monferrato Palo Alto,45,84,Piedmont,1996
St.-Aubin Clos de la Chateniere,25,90,Burgundy,1997
Chardonnay Sonoma Valley Kinneybrook Vineyard,17,82,Sonoma,1992
Dolcetto d'Alba Bordini,14,85,Piedmont,1999
Cabernet Sauvignon Robertson Wide River,14,74,South Africa,1998
Merlot San Ysidro San Ysidro Vineyard,19,81,Other California,1996
Semillon Columbia Valley,6,80,Washington,1993
Pessac-Leognan,,,Bordeaux,1999
Cabernet Sauvignon Rogue Valley,12,86,Oregon,1995
Coteaux du Languedoc White,11,84,Languedoc-Roussillon,1996
Cote-Rotie La Brocarde,40,94,Rhone,1996
Bienvenues-Batard-Montrachet,115,86,Burgundy,1993
Cabernet Sauvignon Szekszardi,14,83,Hungary,1997
Cote-Rotie,29,87,Rhone,1997
Riesling Spätlese Trocken Rheingau,31,84,Germany,1997
Puligny-Montrachet,41,88,Burgundy,1998
Viura-Chardonnay Navarra Vega Sindoa,6,85,Spain,1996
Chaleur Estate Columbia Valley White,18,87,Washington,1995
Mercurey White Les Ormeaux,22,87,Burgundy,1998
Cabernet Sauvignon Rapel Valley Cuvee Alexandre,18,87,Chile,1998
Mercurey,18,76,Burgundy,1997
Vosne-Romanee Les Barreaux,55,93,Burgundy,1995
Syrah Vin de Pays d'Oc Limited Release,10,83,Other France,1997
Pouilly-Fuisse,21,81,Burgundy,1994
Riesling Spätlese Rheinhessen Wormser Liebfrauenstift-Kirchenstuck,19,86,Germany,1997
Chardonnay Russian River Valley Special Reserve,18,88,Sonoma,1996
Santenay White Clos de Malte,17,78,Burgundy,1994
Chardonnay Sonoma County Green Valley,18,85,Sonoma,1995
Syrah Columbia Valley Chukar Ridge Vineyard,18,86,Washington,1995
Gruner Veltliner Qualitätswein Trocken Kamptal Loiserberg,16,88,Niederosterreich,1996
Merlot Vin de Pays d'Oc,8,86,Other France,1994
